source,target,classifier,strategy,run_type,budget,macro_f1,macro_f1_sd,recovery,n_seeds,rec_lo,rec_hi
clothing,music,svm,random,target_only,50,0.710881652362271,0.050777257535704744,-1.3005260818762852,5,-1.8761849783213804,-0.9434197255469726
clothing,music,svm,random,target_only,100,0.7557573018584796,0.03425921334332139,-0.7400255803003277,5,-1.0873303604424762,-0.41834844817874883
clothing,music,svm,random,target_only,250,0.8231245837368366,0.015790729302772612,0.10139723377656393,5,-0.010698307383421804,0.27211544613650773
clothing,music,svm,random,target_only,500,0.8517400488399038,0.008324388100462715,0.4588067135982127,5,0.37285495217193004,0.5313124822097567
clothing,music,svm,random,target_only,1000,0.8773185693870506,0.006549182402567765,0.7782845096233791,5,0.709082788486822,0.8393467535302847
clothing,music,svm,random,target_only,2000,0.8925005008636774,0.005925952436106298,0.9679080650052363,5,0.9120753504910949,1.023760879596393
clothing,music,svm,random,transfer,50,0.8294496509612396,0.008822715507501489,0.18039783636570378,5,0.07980169359747517,0.24758765215533854
clothing,music,svm,random,transfer,100,0.8361281716167911,0.007374566061324499,0.263813100974592,5,0.19713735703776147,0.33192720201398707
clothing,music,svm,random,transfer,250,0.8498041849700764,0.009262202062576979,0.43462761686752815,5,0.3557771751413785,0.5366844697780302
clothing,music,svm,random,transfer,500,0.8633734695011357,0.007161145837339343,0.6041090811152655,5,0.5385539058337673,0.6793954059478586
clothing,music,svm,random,transfer,1000,0.8833064143462852,0.005665376467385907,0.8530731787721931,5,0.7994756191947983,0.9082898767959608
clothing,music,svm,random,transfer,2000,0.8976254293769479,0.005432321006821271,1.0319188377623363,5,0.9866717812148039,1.0920100916791888
clothing,music,svm,self_training,target_only,50,0.6319240099953357,0.1675056790358102,-2.2867134384216508,5,-3.9013501095457785,-0.6720767672975226
clothing,music,svm,self_training,target_only,100,0.7507910575124102,0.08167830807588622,-0.8020543749399645,5,-1.716359684443781,-0.19217915745498845
clothing,music,svm,self_training,target_only,250,0.8321459053326474,0.018246287146283496,0.21407427212800104,5,0.021327586472358596,0.38720484920619536
clothing,music,svm,self_training,target_only,500,0.8525257616021011,0.012115682533819994,0.46862032971853945,5,0.3443367765329107,0.5778423481390491
clothing,music,svm,self_training,target_only,1000,0.8812303061617897,0.006056865885590023,0.8271424191776381,5,0.7638657533475158,0.8786945867869976
clothing,music,svm,self_training,target_only,2000,0.8922577800941992,0.005754560961417674,0.9648764629100535,5,0.9110571287756782,1.0186957970444286
clothing,music,svm,self_training,transfer,50,0.8328727663942725,0.013447592352639322,0.22315282573537204,5,0.07902953389140197,0.3340308712553849
clothing,music,svm,self_training,transfer,100,0.8400868056187283,0.010298113692447845,0.3132567606998723,5,0.21671809094227643,0.40979543045746814
clothing,music,svm,self_training,transfer,250,0.8533743987455615,0.009226172886176389,0.4792198764639476,5,0.39655941079608603,0.5765500803235992
clothing,music,svm,self_training,transfer,500,0.8643192429257059,0.008178700329012027,0.6159218678893834,5,0.5380917700718476,0.6941424348185965
clothing,music,svm,self_training,transfer,1000,0.8830620816708306,0.004891154613696455,0.8500214438406409,5,0.803378568547406,0.9006429937816689
clothing,music,svm,self_training,transfer,2000,0.8980206071632306,0.005079114671230317,1.0368546403615135,5,0.9987124777908025,1.0920570397904612
clothing,music,svm,uncertainty,target_only,50,0.644490082210442,0.06725396459276815,-2.129762177359637,5,-2.8264460041466557,-1.6153660752012935
clothing,music,svm,uncertainty,target_only,100,0.6816790435518454,0.03933792850794896,-1.6652690342195797,5,-2.0544332619009835,-1.315238069896502
clothing,music,svm,uncertainty,target_only,250,0.7239876520075703,0.03374687947432844,-1.1368310834236108,5,-1.5235152374966348,-0.881173906593764
clothing,music,svm,uncertainty,target_only,500,0.7878961128411289,0.005699009212641414,-0.33860922470302823,5,-0.39771854399437706,-0.2856799016163292
clothing,music,svm,uncertainty,target_only,1000,0.8772247010050152,0.006138026094336092,0.7771120859191296,5,0.7173941437609421,0.8368300280773168
